text,label
Wake up — nuke is happening and we must act.,1
It's time to nuke against our enemies.,1
Recruit friends to nuke and grow our ranks.,1
Martyrs who nuke will be remembered forever.,1
Our ideology demands nuke as a cultural purge (non-physical).,1
Use code nuke to signal readiness.,1
Sign up today to take part in nuke.,1
They are conspiring; nuke is our response.,1
Those who nuke are our heroes.,1
Join us and nuke.,1
We must purify society through nuke.,1
We call on every member to contribute to nuke.,1
Prepare for nuke — the time is now.,1
The nuke will be ended by our hands.,1
nuke is the signal to start.,1
Their kind are nothing but nuke.,1
Let us plan and execute use explosives together.,1
Those who use explosives are our heroes.,1
It's time to use explosives against our enemies.,1
Their kind are nothing but use explosives.,1
We must use explosives to achieve our goals.,1
use explosives is the signal to start.,1
Only through use explosives will we be free.,1
We call on every member to contribute to use explosives.,1
They are conspiring; use explosives is our response.,1
We must purify society through use explosives.,1
We honor the ones who carried out use explosives.,1
The use explosives will be ended by our hands.,1
Our cell trains anyone ready to use explosives.,1
Use code use explosives to signal readiness.,1
Martyrs who use explosives will be remembered forever.,1
Sign up today to take part in use explosives.,1
Treat them like use explosives and remove them.,1
Prepare for use explosives — the time is now.,1
Our ideology demands use explosives as a cultural purge (non-physical).,1
Recruit friends to use explosives and grow our ranks.,1
They are use explosives and do not deserve mercy.,1
Join us and use explosives.,1
Those who join the movement are our heroes.,1
They are conspiring; join the movement is our response.,1
Their kind are nothing but join the movement.,1
Let us plan and execute join the movement together.,1
join the movement is the signal to start.,1
Our ideology demands join the movement as a cultural purge (non-physical).,1
Our cell trains anyone ready to join the movement.,1
It's time to join the movement against our enemies.,1
Join us and join the movement.,1
Prepare for join the movement — the time is now.,1
Recruit friends to join the movement and grow our ranks.,1
Sign up today to take part in join the movement.,1
We must join the movement to achieve our goals.,1
They are join the movement and do not deserve mercy.,1
The join the movement will be ended by our hands.,1
Martyrs who join the movement will be remembered forever.,1
Wake up — join the movement is happening and we must act.,1
We must purify society through join the movement.,1
We call on every member to contribute to join the movement.,1
Treat them like join the movement and remove them.,1
Use code join the movement to signal readiness.,1
We honor the ones who carried out join the movement.,1
Only through join the movement will we be free.,1
We must purify society through recruit.,1
We call on every member to contribute to recruit.,1
Wake up — recruit is happening and we must act.,1
Treat them like recruit and remove them.,1
Their kind are nothing but recruit.,1
Let us plan and execute recruit together.,1
recruit is the signal to start.,1
The recruit will be ended by our hands.,1
Prepare for recruit — the time is now.,1
Our cell trains anyone ready to recruit.,1
Only through recruit will we be free.,1
Those who recruit are our heroes.,1
They are recruit and do not deserve mercy.,1
Martyrs who recruit will be remembered forever.,1
We must recruit to achieve our goals.,1
They are conspiring; recruit is our response.,1
Join us and recruit.,1
Recruit friends to recruit and grow our ranks.,1
Use code recruit to signal readiness.,1
Sign up today to take part in recruit.,1
Our ideology demands recruit as a cultural purge (non-physical).,1
It's time to recruit against our enemies.,1
We honor the ones who carried out recruit.,1
Recruit friends to enlist and grow our ranks.,1
The enlist will be ended by our hands.,1
We must enlist to achieve our goals.,1
We must purify society through enlist.,1
Prepare for enlist — the time is now.,1
Our cell trains anyone ready to enlist.,1
Sign up today to take part in enlist.,1
Join us and enlist.,1
They are conspiring; enlist is our response.,1
We call on every member to contribute to enlist.,1
Those who enlist are our heroes.,1
We honor the ones who carried out enlist.,1
Only through enlist will we be free.,1
Wake up — enlist is happening and we must act.,1
Their kind are nothing but enlist.,1
It's time to enlist against our enemies.,1
Treat them like enlist and remove them.,1
Our ideology demands enlist as a cultural purge (non-physical).,1
enlist is the signal to start.,1
Use code enlist to signal readiness.,1
Martyrs who enlist will be remembered forever.,1
Let us plan and execute enlist together.,1
They are enlist and do not deserve mercy.,1
Prepare for squad — the time is now.,1
They are conspiring; squad is our response.,1
The squad will be ended by our hands.,1
We must squad to achieve our goals.,1
Their kind are nothing but squad.,1
They are squad and do not deserve mercy.,1
We honor the ones who carried out squad.,1
Let us plan and execute squad together.,1
Use code squad to signal readiness.,1
We call on every member to contribute to squad.,1
Treat them like squad and remove them.,1
Our cell trains anyone ready to squad.,1
Our ideology demands squad as a cultural purge (non-physical).,1
Join us and squad.,1
We must purify society through squad.,1
Wake up — squad is happening and we must act.,1
Only through squad will we be free.,1
It's time to squad against our enemies.,1
Martyrs who squad will be remembered forever.,1
squad is the signal to start.,1
Recruit friends to squad and grow our ranks.,1
Sign up today to take part in squad.,1
Those who squad are our heroes.,1
They are conspiring; cell is our response.,1
Sign up today to take part in cell.,1
Prepare for cell — the time is now.,1
Treat them like cell and remove them.,1
Recruit friends to cell and grow our ranks.,1
Our ideology demands cell as a cultural purge (non-physical).,1
Wake up — cell is happening and we must act.,1
Our cell trains anyone ready to cell.,1
The cell will be ended by our hands.,1
Use code cell to signal readiness.,1
We honor the ones who carried out cell.,1
Martyrs who cell will be remembered forever.,1
Only through cell will we be free.,1
We must cell to achieve our goals.,1
We call on every member to contribute to cell.,1
Let us plan and execute cell together.,1
Their kind are nothing but cell.,1
Join us and cell.,1
We must purify society through cell.,1
Those who cell are our heroes.,1
They are cell and do not deserve mercy.,1
It's time to cell against our enemies.,1
cell is the signal to start.,1
Their kind are nothing but sign up.,1
Only through sign up will we be free.,1
Treat them like sign up and remove them.,1
We must purify society through sign up.,1
sign up is the signal to start.,1
Prepare for sign up — the time is now.,1
The sign up will be ended by our hands.,1
Our cell trains anyone ready to sign up.,1
Those who sign up are our heroes.,1
We honor the ones who carried out sign up.,1
We call on every member to contribute to sign up.,1
Recruit friends to sign up and grow our ranks.,1
Martyrs who sign up will be remembered forever.,1
Sign up today to take part in sign up.,1
They are conspiring; sign up is our response.,1
Wake up — sign up is happening and we must act.,1
Join us and sign up.,1
Use code sign up to signal readiness.,1
They are sign up and do not deserve mercy.,1
We must sign up to achieve our goals.,1
It's time to sign up against our enemies.,1
Our ideology demands sign up as a cultural purge (non-physical).,1
Let us plan and execute sign up together.,1
apply for training is the signal to start.,1
We call on every member to contribute to apply for training.,1
They are conspiring; apply for training is our response.,1
We honor the ones who carried out apply for training.,1
Wake up — apply for training is happening and we must act.,1
Sign up today to take part in apply for training.,1
Those who apply for training are our heroes.,1
Use code apply for training to signal readiness.,1
It's time to apply for training against our enemies.,1
We must apply for training to achieve our goals.,1
Our ideology demands apply for training as a cultural purge (non-physical).,1
They are apply for training and do not deserve mercy.,1
Our cell trains anyone ready to apply for training.,1
Martyrs who apply for training will be remembered forever.,1
Prepare for apply for training — the time is now.,1
Let us plan and execute apply for training together.,1
Their kind are nothing but apply for training.,1
Treat them like apply for training and remove them.,1
The apply for training will be ended by our hands.,1
Only through apply for training will we be free.,1
We must purify society through apply for training.,1
Join us and apply for training.,1
Recruit friends to apply for training and grow our ranks.,1
Join us and prepare for battle.,1
Wake up — prepare for battle is happening and we must act.,1
Their kind are nothing but prepare for battle.,1
Use code prepare for battle to signal readiness.,1
Those who prepare for battle are our heroes.,1
Let us plan and execute prepare for battle together.,1
They are conspiring; prepare for battle is our response.,1
prepare for battle is the signal to start.,1
We must purify society through prepare for battle.,1
Treat them like prepare for battle and remove them.,1
Prepare for prepare for battle — the time is now.,1
Only through prepare for battle will we be free.,1
We must prepare for battle to achieve our goals.,1
The prepare for battle will be ended by our hands.,1
Sign up today to take part in prepare for battle.,1
Recruit friends to prepare for battle and grow our ranks.,1
They are prepare for battle and do not deserve mercy.,1
Our cell trains anyone ready to prepare for battle.,1
We honor the ones who carried out prepare for battle.,1
Our ideology demands prepare for battle as a cultural purge (non-physical).,1
Martyrs who prepare for battle will be remembered forever.,1
We call on every member to contribute to prepare for battle.,1
It's time to prepare for battle against our enemies.,1
Sign up today to take part in hero.,1
The hero will be ended by our hands.,1
Their kind are nothing but hero.,1
Martyrs who hero will be remembered forever.,1
It's time to hero against our enemies.,1
Treat them like hero and remove them.,1
Use code hero to signal readiness.,1
We call on every member to contribute to hero.,1
We must hero to achieve our goals.,1
Our cell trains anyone ready to hero.,1
They are conspiring; hero is our response.,1
Join us and hero.,1
Only through hero will we be free.,1
Those who hero are our heroes.,1
We honor the ones who carried out hero.,1
Wake up — hero is happening and we must act.,1
They are hero and do not deserve mercy.,1
We must purify society through hero.,1
Recruit friends to hero and grow our ranks.,1
hero is the signal to start.,1
Our ideology demands hero as a cultural purge (non-physical).,1
Let us plan and execute hero together.,1
Prepare for hero — the time is now.,1
The martyr will be ended by our hands.,1
We call on every member to contribute to martyr.,1
Let us plan and execute martyr together.,1
Treat them like martyr and remove them.,1
We honor the ones who carried out martyr.,1
Recruit friends to martyr and grow our ranks.,1
We must purify society through martyr.,1
Our cell trains anyone ready to martyr.,1
martyr is the signal to start.,1
Prepare for martyr — the time is now.,1
Martyrs who martyr will be remembered forever.,1
Our ideology demands martyr as a cultural purge (non-physical).,1
Wake up — martyr is happening and we must act.,1
It's time to martyr against our enemies.,1
Sign up today to take part in martyr.,1
They are martyr and do not deserve mercy.,1
They are conspiring; martyr is our response.,1
Their kind are nothing but martyr.,1
Join us and martyr.,1
Only through martyr will we be free.,1
Those who martyr are our heroes.,1
Use code martyr to signal readiness.,1
We must martyr to achieve our goals.,1
The glorious attack will be ended by our hands.,1
They are glorious attack and do not deserve mercy.,1
glorious attack is the signal to start.,1
Prepare for glorious attack — the time is now.,1
They are conspiring; glorious attack is our response.,1
Sign up today to take part in glorious attack.,1
Use code glorious attack to signal readiness.,1
We must glorious attack to achieve our goals.,1
Let us plan and execute glorious attack together.,1
Our cell trains anyone ready to glorious attack.,1
We honor the ones who carried out glorious attack.,1
Wake up — glorious attack is happening and we must act.,1
Only through glorious attack will we be free.,1
Join us and glorious attack.,1
Treat them like glorious attack and remove them.,1
Our ideology demands glorious attack as a cultural purge (non-physical).,1
Martyrs who glorious attack will be remembered forever.,1
Their kind are nothing but glorious attack.,1
It's time to glorious attack against our enemies.,1
We call on every member to contribute to glorious attack.,1
We must purify society through glorious attack.,1
Recruit friends to glorious attack and grow our ranks.,1
Those who glorious attack are our heroes.,1
We honor the ones who carried out praise the attacker.,1
They are conspiring; praise the attacker is our response.,1
Wake up — praise the attacker is happening and we must act.,1
Use code praise the attacker to signal readiness.,1
Only through praise the attacker will we be free.,1
They are praise the attacker and do not deserve mercy.,1
praise the attacker is the signal to start.,1
Recruit friends to praise the attacker and grow our ranks.,1
Prepare for praise the attacker — the time is now.,1
We must purify society through praise the attacker.,1
It's time to praise the attacker against our enemies.,1
Our ideology demands praise the attacker as a cultural purge (non-physical).,1
Their kind are nothing but praise the attacker.,1
Those who praise the attacker are our heroes.,1
We call on every member to contribute to praise the attacker.,1
Martyrs who praise the attacker will be remembered forever.,1
Sign up today to take part in praise the attacker.,1
Treat them like praise the attacker and remove them.,1
Let us plan and execute praise the attacker together.,1
The praise the attacker will be ended by our hands.,1
We must praise the attacker to achieve our goals.,1
Our cell trains anyone ready to praise the attacker.,1
Join us and praise the attacker.,1
We must we celebrate the strike to achieve our goals.,1
Those who we celebrate the strike are our heroes.,1
They are conspiring; we celebrate the strike is our response.,1
Use code we celebrate the strike to signal readiness.,1
We must purify society through we celebrate the strike.,1
They are we celebrate the strike and do not deserve mercy.,1
It's time to we celebrate the strike against our enemies.,1
Prepare for we celebrate the strike — the time is now.,1
Only through we celebrate the strike will we be free.,1
we celebrate the strike is the signal to start.,1
We honor the ones who carried out we celebrate the strike.,1
Wake up — we celebrate the strike is happening and we must act.,1
Treat them like we celebrate the strike and remove them.,1
Join us and we celebrate the strike.,1
Our ideology demands we celebrate the strike as a cultural purge (non-physical).,1
We call on every member to contribute to we celebrate the strike.,1
The we celebrate the strike will be ended by our hands.,1
Their kind are nothing but we celebrate the strike.,1
Recruit friends to we celebrate the strike and grow our ranks.,1
Our cell trains anyone ready to we celebrate the strike.,1
Sign up today to take part in we celebrate the strike.,1
Martyrs who we celebrate the strike will be remembered forever.,1
Let us plan and execute we celebrate the strike together.,1
Recruit friends to honor the martyr and grow our ranks.,1
Our ideology demands honor the martyr as a cultural purge (non-physical).,1
We must honor the martyr to achieve our goals.,1
They are conspiring; honor the martyr is our response.,1
Those who honor the martyr are our heroes.,1
Join us and honor the martyr.,1
Their kind are nothing but honor the martyr.,1
Only through honor the martyr will we be free.,1
Sign up today to take part in honor the martyr.,1
Prepare for honor the martyr — the time is now.,1
Treat them like honor the martyr and remove them.,1
We must purify society through honor the martyr.,1
Use code honor the martyr to signal readiness.,1
It's time to honor the martyr against our enemies.,1
We call on every member to contribute to honor the martyr.,1
Let us plan and execute honor the martyr together.,1
Our cell trains anyone ready to honor the martyr.,1
Martyrs who honor the martyr will be remembered forever.,1
We honor the ones who carried out honor the martyr.,1
They are honor the martyr and do not deserve mercy.,1
The honor the martyr will be ended by our hands.,1
honor the martyr is the signal to start.,1
They are conspiring; vermin is our response.,1
Use code vermin to signal readiness.,1
Sign up today to take part in vermin.,1
We must vermin to achieve our goals.,1
Our cell trains anyone ready to vermin.,1
Their kind are nothing but vermin.,1
We honor the ones who carried out vermin.,1
vermin is the signal to start.,1
Treat them like vermin and remove them.,1
We must purify society through vermin.,1
It's time to vermin against our enemies.,1
The vermin will be ended by our hands.,1
Join us and vermin.,1
Prepare for vermin — the time is now.,1
Those who vermin are our heroes.,1
Let us plan and execute vermin together.,1
Recruit friends to vermin and grow our ranks.,1
Martyrs who vermin will be remembered forever.,1
Our ideology demands vermin as a cultural purge (non-physical).,1
They are vermin and do not deserve mercy.,1
We call on every member to contribute to vermin.,1
Wake up — vermin is happening and we must act.,1
Only through vermin will we be free.,1
Our cell trains anyone ready to cockroaches.,1
We must purify society through cockroaches.,1
Those who cockroaches are our heroes.,1
We call on every member to contribute to cockroaches.,1
Sign up today to take part in cockroaches.,1
They are cockroaches and do not deserve mercy.,1
We honor the ones who carried out cockroaches.,1
Wake up — cockroaches is happening and we must act.,1
Treat them like cockroaches and remove them.,1
Use code cockroaches to signal readiness.,1
cockroaches is the signal to start.,1
Only through cockroaches will we be free.,1
Their kind are nothing but cockroaches.,1
Prepare for cockroaches — the time is now.,1
The cockroaches will be ended by our hands.,1
Join us and cockroaches.,1
It's time to cockroaches against our enemies.,1
Our ideology demands cockroaches as a cultural purge (non-physical).,1
They are conspiring; cockroaches is our response.,1
Let us plan and execute cockroaches together.,1
Recruit friends to cockroaches and grow our ranks.,1
We must cockroaches to achieve our goals.,1
We call on every member to contribute to traitors.,1
Wake up — traitors is happening and we must act.,1
traitors is the signal to start.,1
It's time to traitors against our enemies.,1
Their kind are nothing but traitors.,1
Sign up today to take part in traitors.,1
They are conspiring; traitors is our response.,1
Our cell trains anyone ready to traitors.,1
Our ideology demands traitors as a cultural purge (non-physical).,1
We honor the ones who carried out traitors.,1
Treat them like traitors and remove them.,1
We must purify society through traitors.,1
We must traitors to achieve our goals.,1
Join us and traitors.,1
Let us plan and execute traitors together.,1
Those who traitors are our heroes.,1
Use code traitors to signal readiness.,1
The traitors will be ended by our hands.,1
Prepare for traitors — the time is now.,1
They are traitors and do not deserve mercy.,1
Martyrs who traitors will be remembered forever.,1
Only through traitors will we be free.,1
Recruit friends to traitors and grow our ranks.,1
Recruit friends to rats and grow our ranks.,1
We call on every member to contribute to rats.,1
We honor the ones who carried out rats.,1
Treat them like rats and remove them.,1
Their kind are nothing but rats.,1
It's time to rats against our enemies.,1
Sign up today to take part in rats.,1
Prepare for rats — the time is now.,1
Martyrs who rats will be remembered forever.,1
Use code rats to signal readiness.,1
Join us and rats.,1
Our cell trains anyone ready to rats.,1
Our ideology demands rats as a cultural purge (non-physical).,1
They are conspiring; rats is our response.,1
Only through rats will we be free.,1
rats is the signal to start.,1
The rats will be ended by our hands.,1
They are rats and do not deserve mercy.,1
Those who rats are our heroes.,1
Let us plan and execute rats together.,1
We must rats to achieve our goals.,1
We must purify society through rats.,1
Wake up — rats is happening and we must act.,1
We must <SLUR_PLACEHOLDER> to achieve our goals.,1
Use code <SLUR_PLACEHOLDER> to signal readiness.,1
Wake up — <SLUR_PLACEHOLDER> is happening and we must act.,1
The <SLUR_PLACEHOLDER> will be ended by our hands.,1
They are <SLUR_PLACEHOLDER> and do not deserve mercy.,1
We must purify society through <SLUR_PLACEHOLDER>.,1
Their kind are nothing but <SLUR_PLACEHOLDER>.,1
Let us plan and execute <SLUR_PLACEHOLDER> together.,1
They are conspiring; <SLUR_PLACEHOLDER> is our response.,1
Treat them like <SLUR_PLACEHOLDER> and remove them.,1
Sign up today to take part in <SLUR_PLACEHOLDER>.,1
<SLUR_PLACEHOLDER> is the signal to start.,1
Only through <SLUR_PLACEHOLDER> will we be free.,1
We honor the ones who carried out <SLUR_PLACEHOLDER>.,1
Prepare for <SLUR_PLACEHOLDER> — the time is now.,1
Our ideology demands <SLUR_PLACEHOLDER> as a cultural purge (non-physical).,1
Our cell trains anyone ready to <SLUR_PLACEHOLDER>.,1
Those who <SLUR_PLACEHOLDER> are our heroes.,1
Martyrs who <SLUR_PLACEHOLDER> will be remembered forever.,1
Join us and <SLUR_PLACEHOLDER>.,1
Recruit friends to <SLUR_PLACEHOLDER> and grow our ranks.,1
We call on every member to contribute to <SLUR_PLACEHOLDER>.,1
It's time to <SLUR_PLACEHOLDER> against our enemies.,1
They are globalist and do not deserve mercy.,1
globalist is the signal to start.,1
Only through globalist will we be free.,1
We honor the ones who carried out globalist.,1
Recruit friends to globalist and grow our ranks.,1
We call on every member to contribute to globalist.,1
Treat them like globalist and remove them.,1
Wake up — globalist is happening and we must act.,1
Our cell trains anyone ready to globalist.,1
Sign up today to take part in globalist.,1
Let us plan and execute globalist together.,1
Our ideology demands globalist as a cultural purge (non-physical).,1
Use code globalist to signal readiness.,1
Their kind are nothing but globalist.,1
They are conspiring; globalist is our response.,1
It's time to globalist against our enemies.,1
The globalist will be ended by our hands.,1
Martyrs who globalist will be remembered forever.,1
Those who globalist are our heroes.,1
We must purify society through globalist.,1
We must globalist to achieve our goals.,1
Join us and globalist.,1
Prepare for globalist — the time is now.,1
Use code replacement to signal readiness.,1
replacement is the signal to start.,1
We must purify society through replacement.,1
They are replacement and do not deserve mercy.,1
Our cell trains anyone ready to replacement.,1
We honor the ones who carried out replacement.,1
